Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
203	20.849	11.700	9.452	15.994	737.928	216000.000	179.810	0.137	1316.790	4.700
204	20.870	11.697	8.828	16.154	737.928	216000.000	179.134	0.136	1312.810	4.700
205	20.849	11.671	8.954	15.290	737.928	216000.000	175.490	0.140	1298.680	4.900
206	20.827	11.678	10.024	13.715	737.928	216000.000	174.109	0.145	1298.090	5.000
207	20.861	11.672	10.968	11.944	737.928	216000.000	170.907	0.152	1293.790	5.200
208	20.859	11.667	10.794	10.948	737.928	216000.000	168.918	0.154	1288.830	5.300
209	20.820	11.678	11.119	11.702	737.928	216000.000	170.310	0.154	1293.150	5.300
210	20.807	11.704	11.843	13.070	737.928	216000.000	172.664	0.156	1308.290	5.400
211	20.869	11.735	12.027	14.571	737.928	216000.000	172.389	0.161	1323.020	5.800
212	20.865	11.754	11.773	15.394	737.928	216000.000	175.248	0.158	1335.670	5.700
213	20.836	11.756	11.916	16.612	737.928	216000.000	180.794	0.147	1337.340	5.100
214	20.831	11.771	11.324	16.852	737.928	216000.000	180.735	0.149	1346.790	5.300
215	20.884	11.771	8.719	15.687	737.928	216000.000	178.324	0.149	1350.690	5.500
216	20.860	11.769	6.618	14.034	737.928	216000.000	177.372	0.147	1352.370	5.500
217	20.852	11.757	7.073	13.043	737.928	216000.000	178.118	0.144	1346.370	5.200
218	20.885	11.747	9.180	12.784	737.928	216000.000	177.844	0.146	1340.060	5.100
219	20.922	11.726	10.656	12.776	737.928	216000.000	175.733	0.150	1330.290	5.200
220	20.919	11.729	10.898	13.011	737.928	216000.000	176.205	0.151	1332.350	5.200
221	20.907	11.760	11.494	12.934	737.928	216000.000	177.225	0.155	1350.220	5.400
222	20.873	11.768	11.942	13.462	737.928	216000.000	178.404	0.157	1360.420	5.500
223	20.871	11.759	12.033	14.543	737.928	216000.000	178.389	0.156	1354.610	5.500
224	20.879	11.776	12.052	14.660	737.928	216000.000	177.959	0.161	1368.150	5.800
225	20.817	11.777	11.481	14.748	737.928	216000.000	179.080	0.160	1373.490	5.800
226	20.838	11.776	10.882	15.384	737.928	216000.000	180.865	0.155	1374.820	5.600
227	20.834	11.777	9.360	15.784	737.928	216000.000	180.765	0.153	1378.720	5.700
228	20.798	11.759	8.190	16.711	737.928	216000.000	180.144	0.149	1361.950	5.600
229	20.823	11.742	8.445	16.907	737.928	216000.000	178.279	0.149	1347.510	5.600
230	20.861	11.720	8.838	15.657	737.928	216000.000	178.658	0.144	1337.860	5.200
231	20.832	11.687	8.872	14.228	737.928	216000.000	176.426	0.144	1321.460	5.100
232	20.814	11.660	9.442	13.292	737.928	216000.000	174.701	0.143	1300.550	4.900
233	20.802	11.675	10.730	12.509	737.928	216000.000	172.927	0.151	1304.250	5.200
234	20.849	11.671	10.757	11.920	737.928	216000.000	171.314	0.153	1302.860	5.300
235	20.829	11.669	10.996	12.157	737.928	216000.000	169.069	0.158	1299.160	5.600
236	20.803	11.684	11.349	13.066	737.928	216000.000	171.571	0.156	1306.550	5.500
237	20.811	11.709	11.857	14.263	737.928	216000.000	172.585	0.159	1318.910	5.700
238	20.843	11.711	12.465	14.934	737.928	216000.000	172.255	0.163	1325.620	5.900
239	20.831	11.746	12.538	15.798	737.928	216000.000	174.330	0.164	1341.680	6.000
240	20.793	11.779	12.030	16.916	737.928	216000.000	177.168	0.164	1361.630	6.100
241	20.858	11.777	10.787	17.535	737.928	216000.000	178.369	0.159	1366.630	6.000
242	20.883	11.802	9.360	15.979	737.928	216000.000	177.199	0.165	1391.920	6.400
243	20.851	11.806	8.007	13.252	737.928	216000.000	177.454	0.164	1402.640	6.300
244	20.849	11.808	7.649	12.273	737.928	216000.000	177.875	0.163	1405.740	6.200
245	20.879	11.786	8.369	12.270	737.928	216000.000	177.114	0.162	1395.630	6.100
246	20.873	11.768	9.466	12.747	737.928	216000.000	177.772	0.158	1379.880	5.800
247	20.827	11.758	10.915	13.055	737.928	216000.000	177.746	0.159	1368.310	5.700
